order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,sales,discount,profit
CA-2022-100041,2022-12-01,2022-12-08,First Class,CG-10366,TEC-PH-10004977,2,588.64,0.15,-20.06
CA-2021-100042,2021-05-18,2021-05-25,Standard Class,CG-10217,OFF-AP-10002311,7,2433.83,0.0,509.55
CA-2023-100043,2023-12-16,2023-12-22,Standard Class,CG-10334,OFF-EN-10001990,6,2317.82,0.0,-131.78
CA-2021-100044,2021-03-04,2021-03-09,First Class,CG-10301,OFF-BI-10004632,4,492.08,0.0,23.41
CA-2024-100045,2024-06-12,2024-06-19,Standard Class,CG-10092,OFF-ST-10000760,7,950.51,0.1,40.32
CA-2023-100046,2023-01-05,2023-01-06,First Class,CG-10212,OFF-BI-10003910,2,290.9,0.1,11.46
CA-2023-100047,2023-09-06,2023-09-13,Standard Class,CG-10482,OFF-ST-10000760,1,370.24,0.15,-55.73
CA-2021-100048,2021-09-06,2021-09-08,Standard Class,CG-10392,TEC-AC-10003027,6,1589.71,0.0,637.03
CA-2022-100049,2022-07-14,2022-07-20,Standard Class,CG-10176,TEC-AC-10003027,2,460.78,0.15,-93.41
CA-2022-100050,2022-01-13,2022-01-14,Standard Class,CG-10029,OFF-ST-10000760,5,231.25,0.2,87.02
CA-2021-100051,2021-06-26,2021-07-01,Same Day,CG-10130,OFF-AR-10002867,3,605.95,0.0,-107.31
CA-2022-100052,2022-10-28,2022-10-31,Standard Class,CG-10359,OFF-EN-10001990,7,1230.08,0.2,-231.95
CA-2023-100053,2023-08-15,2023-08-22,Standard Class,CG-10292,FUR-TA-10004575,3,440.23,0.1,18.19
CA-2024-100054,2024-08-05,2024-08-12,Second Class,CG-10157,TEC-AC-10003027,2,637.69,0.0,-142.12
CA-2023-100055,2023-05-10,2023-05-15,Standard Class,CG-10051,OFF-AR-10002867,4,1454.13,0.15,528.41
CA-2022-100056,2022-04-13,2022-04-20,Standard Class,CG-10047,OFF-BI-10004632,3,732.13,0.0,-151.96
CA-2023-100057,2023-08-29,2023-09-01,Standard Class,CG-10271,OFF-ST-10000760,2,218.78,0.1,4.75
CA-2023-100058,2023-02-20,2023-02-27,Standard Class,CG-10098,TEC-MA-10001148,6,937.42,0.1,399.66
CA-2024-100059,2024-08-25,2024-08-31,Standard Class,CG-10061,FUR-TA-10004575,3,529.06,0.1,233.16
CA-2021-100060,2021-05-16,2021-05-20,Second Class,CG-10029,FUR-BO-10001798,4,208.49,0.15,21.97
CA-2023-100061,2023-05-24,2023-05-29,Standard Class,CG-10417,OFF-BI-10004632,7,2027.66,0.15,726.59
CA-2023-100062,2023-03-24,2023-03-29,Standard Class,CG-10306,FUR-CH-10000454,2,698.14,0.1,30.83
CA-2023-100063,2023-10-27,2023-11-01,Standard Class,CG-10448,OFF-AR-10002867,3,111.95,0.2,31.9
CA-2022-100064,2022-03-04,2022-03-06,Standard Class,CG-10102,OFF-ST-10000760,7,2016.9,0.1,-69.91
CA-2021-100065,2021-04-17,2021-04-23,Second Class,CG-10347,FUR-BO-10001798,5,30.44,0.15,12.61
CA-2022-100066,2022-11-21,2022-11-23,Standard Class,CG-10021,OFF-LA-10000240,4,796.32,0.0,91.74
CA-2023-100067,2023-07-14,2023-07-21,Standard Class,CG-10146,TEC-AC-10003027,5,200.2,0.0,-24.73
CA-2022-100068,2022-02-24,2022-02-26,Standard Class,CG-10497,FUR-TA-10000577,2,621.02,0.1,244.35
CA-2021-100069,2021-02-08,2021-02-11,Standard Class,CG-10476,FUR-CH-10000454,6,512.04,0.3,-53.11
CA-2023-100070,2023-04-19,2023-04-22,Standard Class,CG-10040,FUR-TA-10000577,4,1053.18,0.0,346.22
CA-2021-100071,2021-05-21,2021-05-26,Standard Class,CG-10368,OFF-PA-10002365,2,305.03,0.1,-61.49
CA-2021-100072,2021-04-12,2021-04-16,First Class,CG-10434,TEC-MA-10001148,6,679.25,0.15,-138.24
CA-2021-100073,2021-04-21,2021-04-22,Standard Class,CG-10353,TEC-PH-10004977,3,72.12,0.2,-6.18
CA-2022-100074,2022-09-15,2022-09-17,Standard Class,CG-10011,OFF-EN-10001990,6,1201.82,0.1,531.64
CA-2024-100075,2024-10-12,2024-10-13,Standard Class,CG-10286,TEC-PH-10004977,3,1078.43,0.1,247.66
CA-2022-100076,2022-09-04,2022-09-05,Standard Class,CG-10238,TEC-PH-10004977,3,640.01,0.1,-13.55
CA-2024-100077,2024-06-17,2024-06-20,Second Class,CG-10382,OFF-ST-10000760,1,353.78,0.1,-55.31
CA-2024-100078,2024-05-23,2024-05-24,Second Class,CG-10074,TEC-AC-10003832,2,144.03,0.0,-31.24
CA-2022-100079,2022-01-29,2022-01-30,Standard Class,CG-10088,TEC-AC-10003832,3,99.84,0.1,27.88
CA-2021-100080,2021-01-16,2021-01-19,Standard Class,CG-10374,TEC-AC-10003027,5,2230.52,0.0,-261.77
CA-2023-100081,2023-06-13,2023-06-18,Standard Class,CG-10195,TEC-AC-10003027,2,544.19,0.2,170.9
CA-2023-100082,2023-03-24,2023-03-30,Same Day,CG-10396,TEC-PH-10002075,3,364.21,0.2,82.79
CA-2021-100083,2021-10-15,2021-10-19,Standard Class,CG-10249,OFF-PA-10002365,7,369.2,0.0,44.06
CA-2024-100084,2024-09-22,2024-09-28,First Class,CG-10243,OFF-BI-10004632,1,79.14,0.15,-14.42
CA-2021-100085,2021-06-04,2021-06-05,Second Class,CG-10464,FUR-CH-10004218,1,243.16,0.15,80.18
CA-2023-100086,2023-05-07,2023-05-11,Second Class,CG-10345,OFF-BI-10004632,3,662.1,0.3,106.77
CA-2023-100087,2023-09-09,2023-09-15,Standard Class,CG-10206,OFF-PA-10002365,3,229.12,0.0,29.24
CA-2023-100088,2023-04-16,2023-04-17,Second Class,CG-10498,TEC-PH-10004977,1,166.41,0.1,26.56
CA-2021-100089,2021-10-04,2021-10-09,Standard Class,CG-10310,FUR-CH-10004218,2,509.43,0.1,88.81
CA-2022-100090,2022-02-04,2022-02-10,Second Class,CG-10395,FUR-TA-10000577,4,1416.53,0.1,-264.49
CA-2021-100091,2021-01-22,2021-01-28,Standard Class,CG-10091,OFF-LA-10000240,7,1695.25,0.1,-22.01
CA-2024-100092,2024-06-16,2024-06-17,Standard Class,CG-10413,TEC-PH-10004977,6,1417.74,0.0,-304.44
CA-2021-100093,2021-08-23,2021-08-26,Standard Class,CG-10187,FUR-FU-10001487,7,1608.55,0.0,-283.06
CA-2024-100094,2024-04-06,2024-04-12,Second Class,CG-10472,FUR-BO-10001798,3,889.35,0.15,-153.35
CA-2021-100095,2021-10-01,2021-10-04,Second Class,CG-10450,TEC-AC-10003832,2,665.39,0.2,76.85
CA-2021-100096,2021-11-06,2021-11-12,Same Day,CG-10025,TEC-CO-10001798,6,1361.26,0.0,310.52
CA-2023-100097,2023-11-13,2023-11-15,Second Class,CG-10248,TEC-PH-10004977,6,2032.59,0.2,249.38
CA-2022-100098,2022-11-07,2022-11-12,First Class,CG-10026,OFF-BI-10004632,3,174.46,0.0,-15.19
CA-2021-100099,2021-01-31,2021-02-02,Standard Class,CG-10180,FUR-TA-10000577,7,705.13,0.0,101.77
CA-2023-100100,2023-07-04,2023-07-07,First Class,CG-10274,OFF-EN-10001990,7,404.27,0.2,154.33
CA-2023-100101,2023-02-26,2023-03-03,Second Class,CG-10127,TEC-CO-10001798,5,1561.35,0.0,656.8
CA-2024-100102,2024-02-16,2024-02-18,Standard Class,CG-10319,FUR-FU-10001487,3,28.4,0.1,2.98
CA-2024-100103,2024-04-28,2024-04-30,Standard Class,CG-10259,OFF-AR-10002867,1,120.4,0.3,-15.53
CA-2022-100104,2022-03-06,2022-03-10,Standard Class,CG-10263,FUR-TA-10004575,4,817.85,0.1,339.41
CA-2024-100105,2024-12-20,2024-12-21,Second Class,CG-10274,TEC-MA-10001148,2,422.71,0.0,77.09
CA-2023-100106,2023-12-27,2023-12-29,Standard Class,CG-10131,FUR-TA-10000577,4,1095.02,0.0,-242.13
CA-2021-100107,2021-04-28,2021-05-05,Standard Class,CG-10229,TEC-MA-10001148,3,645.47,0.15,212.19
CA-2023-100108,2023-06-25,2023-06-27,Standard Class,CG-10007,FUR-FU-10001487,5,1936.2,0.0,771.24
CA-2022-100109,2022-06-03,2022-06-04,Standard Class,CG-10143,TEC-PH-10004977,6,40.4,0.0,-0.64
CA-2022-100110,2022-10-22,2022-10-23,Standard Class,CG-10097,OFF-LA-10000240,3,831.86,0.2,172.03
CA-2023-100111,2023-12-08,2023-12-15,Standard Class,CG-10409,OFF-ST-10000760,4,595.36,0.2,247.35
CA-2023-100112,2023-09-03,2023-09-07,Second Class,CG-10044,TEC-PH-10004977,4,1361.16,0.0,-202.94
CA-2024-100113,2024-02-24,2024-02-29,First Class,CG-10401,OFF-LA-10000240,1,339.62,0.15,32.26
CA-2022-100114,2022-02-01,2022-02-02,First Class,CG-10175,FUR-CH-10000454,4,297.21,0.2,96.93
CA-2024-100115,2024-08-21,2024-08-28,Second Class,CG-10175,OFF-BI-10004632,3,1133.09,0.1,51.83
CA-2022-100116,2022-05-16,2022-05-17,First Class,CG-10114,OFF-AR-10002867,3,337.15,0.0,32.9
CA-2023-100117,2023-10-19,2023-10-23,Standard Class,CG-10271,TEC-CO-10001798,2,423.32,0.0,138.03
CA-2023-100118,2023-11-13,2023-11-19,First Class,CG-10214,FUR-CH-10004218,6,1251.92,0.2,-57.92
CA-2024-100119,2024-09-09,2024-09-15,First Class,CG-10169,FUR-CH-10004218,1,267.14,0.3,11.78
CA-2023-100120,2023-12-24,2023-12-25,Standard Class,CG-10332,OFF-BI-10003910,4,1669.97,0.0,243.53
CA-2022-100121,2022-04-06,2022-04-12,First Class,CG-10381,OFF-LA-10000240,5,901.84,0.0,84.89
CA-2024-100122,2024-07-31,2024-08-05,Standard Class,CG-10198,OFF-BI-10003910,1,234.72,0.1,42.25
CA-2022-100123,2022-12-29,2023-01-02,Second Class,CG-10142,OFF-BI-10003910,3,615.43,0.1,198.47
CA-2022-100124,2022-05-14,2022-05-19,Standard Class,CG-10290,FUR-CH-10000454,6,2309.25,0.0,364.58
CA-2022-100125,2022-06-11,2022-06-13,Standard Class,CG-10391,FUR-CH-10004218,6,640.06,0.1,265.02
CA-2024-100126,2024-07-03,2024-07-05,Standard Class,CG-10335,FUR-CH-10000454,7,2760.16,0.0,893.63
CA-2024-100127,2024-09-29,2024-10-06,Second Class,CG-10471,OFF-BI-10003910,6,1452.42,0.0,462.75
CA-2022-100128,2022-11-16,2022-11-20,Same Day,CG-10344,FUR-BO-10001798,7,751.29,0.0,150.23
CA-2022-100129,2022-03-16,2022-03-18,Same Day,CG-10036,OFF-LA-10000240,6,2327.7,0.0,237.95
CA-2021-100130,2021-01-18,2021-01-21,Standard Class,CG-10069,OFF-PA-10002365,4,792.09,0.15,-1.03
CA-2022-100131,2022-01-07,2022-01-13,Standard Class,CG-10214,FUR-FU-10001487,6,394.89,0.0,148.1
CA-2022-100132,2022-03-13,2022-03-15,Standard Class,CG-10392,FUR-CH-10004218,4,614.69,0.0,44.27
CA-2022-100133,2022-01-11,2022-01-16,Second Class,CG-10028,TEC-PH-10002075,1,39.47,0.15,-5.03
CA-2022-100134,2022-06-11,2022-06-15,Standard Class,CG-10287,OFF-BI-10004632,6,580.75,0.0,56.87
CA-2021-100135,2021-02-21,2021-02-27,First Class,CG-10472,OFF-LA-10000240,4,131.04,0.2,40.39
CA-2023-100136,2023-10-18,2023-10-22,Standard Class,CG-10418,TEC-PH-10002075,5,1074.0,0.1,422.49
CA-2021-100137,2021-02-09,2021-02-10,Same Day,CG-10293,OFF-AR-10002867,5,914.14,0.1,309.7
CA-2021-100138,2021-08-25,2021-08-28,Standard Class,CG-10472,OFF-ST-10000760,6,2399.42,0.0,666.71
CA-2023-100139,2023-03-22,2023-03-26,Second Class,CG-10328,TEC-CO-10001798,1,65.17,0.0,-11.58
CA-2022-100140,2022-05-29,2022-06-01,Same Day,CG-10129,OFF-LA-10000240,2,563.2,0.1,71.76
CA-2023-100141,2023-02-27,2023-03-05,Second Class,CG-10226,OFF-BI-10003910,5,1169.79,0.3,400.79
CA-2023-100142,2023-07-05,2023-07-11,Standard Class,CG-10037,TEC-PH-10002075,3,783.8,0.15,351.74
CA-2022-100143,2022-10-22,2022-10-27,Standard Class,CG-10304,FUR-CH-10000454,5,569.6,0.0,149.08
CA-2021-100144,2021-08-31,2021-09-01,Standard Class,CG-10059,FUR-TA-10004575,1,354.23,0.1,-78.65
CA-2023-100145,2023-02-01,2023-02-03,Second Class,CG-10238,TEC-AC-10003027,6,952.31,0.2,-46.22
CA-2021-100146,2021-03-20,2021-03-27,Standard Class,CG-10298,TEC-CO-10001798,7,2626.55,0.15,198.7
CA-2023-100147,2023-02-02,2023-02-08,Second Class,CG-10415,TEC-PH-10004977,1,185.21,0.1,60.84
CA-2023-100148,2023-07-29,2023-08-05,First Class,CG-10110,OFF-BI-10003910,5,626.8,0.0,-136.67
CA-2023-100149,2023-03-06,2023-03-10,Standard Class,CG-10190,OFF-PA-10002365,6,530.25,0.1,-46.24
CA-2024-100150,2024-01-27,2024-02-02,Standard Class,CG-10122,FUR-CH-10000454,3,522.61,0.0,167.51
CA-2022-100151,2022-02-04,2022-02-11,Standard Class,CG-10268,OFF-EN-10001990,4,670.13,0.15,47.26
CA-2023-100152,2023-02-07,2023-02-09,Standard Class,CG-10330,TEC-MA-10001148,3,154.17,0.0,-25.18
CA-2022-100153,2022-03-14,2022-03-21,Standard Class,CG-10325,TEC-AC-10003027,2,506.79,0.1,-119.51
CA-2021-100154,2021-06-23,2021-06-30,Standard Class,CG-10018,FUR-TA-10004575,2,254.37,0.0,30.61
CA-2021-100155,2021-10-12,2021-10-13,Standard Class,CG-10062,FUR-FU-10001487,3,408.88,0.1,-38.73
CA-2024-100156,2024-10-07,2024-10-10,Second Class,CG-10274,OFF-AP-10002311,1,61.45,0.0,26.85
CA-2023-100157,2023-03-06,2023-03-13,Standard Class,CG-10322,TEC-CO-10001798,6,2631.92,0.0,489.93
CA-2022-100158,2022-07-15,2022-07-19,Second Class,CG-10044,FUR-TA-10000577,7,349.89,0.3,5.38
CA-2023-100159,2023-05-17,2023-05-18,Standard Class,CG-10149,TEC-AC-10003832,3,657.07,0.15,-95.65
CA-2023-100160,2023-09-12,2023-09-13,Standard Class,CG-10461,FUR-FU-10001487,4,295.87,0.0,102.98
CA-2024-100161,2024-02-11,2024-02-18,Second Class,CG-10138,FUR-CH-10004218,4,276.0,0.1,-57.41
CA-2023-100162,2023-09-27,2023-09-30,Standard Class,CG-10003,OFF-ST-10000760,5,753.78,0.1,125.13
CA-2023-100163,2023-11-16,2023-11-23,Standard Class,CG-10456,TEC-AC-10003027,7,1504.63,0.0,-285.7
CA-2021-100164,2021-01-17,2021-01-19,Standard Class,CG-10333,TEC-MA-10001148,7,618.83,0.15,-81.65
CA-2021-100165,2021-07-03,2021-07-06,First Class,CG-10372,OFF-PA-10002365,4,1379.76,0.2,-196.61
CA-2021-100166,2021-08-05,2021-08-09,Standard Class,CG-10399,FUR-FU-10001487,7,1648.19,0.0,-230.88
CA-2023-100167,2023-09-23,2023-09-30,Standard Class,CG-10162,OFF-LA-10000240,2,873.12,0.0,143.65
CA-2023-100168,2023-03-05,2023-03-08,Standard Class,CG-10398,FUR-TA-10004575,3,354.08,0.1,-43.08
CA-2022-100169,2022-01-06,2022-01-07,Second Class,CG-10099,TEC-MA-10001148,2,391.08,0.15,81.24
CA-2023-100170,2023-11-13,2023-11-18,Second Class,CG-10465,OFF-LA-10000240,7,1946.38,0.0,-351.02
CA-2023-100171,2023-12-26,2023-12-28,First Class,CG-10096,FUR-CH-10000454,4,997.02,0.0,176.76
CA-2024-100172,2024-04-15,2024-04-16,Second Class,CG-10030,FUR-TA-10004575,3,673.07,0.1,54.53
CA-2024-100173,2024-06-02,2024-06-09,Second Class,CG-10066,OFF-LA-10000240,6,2019.62,0.1,-158.75
CA-2021-100174,2021-05-04,2021-05-07,Second Class,CG-10049,FUR-CH-10000454,6,1605.26,0.0,-311.98
CA-2022-100175,2022-04-09,2022-04-16,Same Day,CG-10129,OFF-ST-10000760,4,1262.78,0.0,310.97
CA-2021-100176,2021-05-14,2021-05-19,Standard Class,CG-10381,OFF-LA-10000240,3,328.29,0.0,88.52
CA-2021-100177,2021-09-13,2021-09-16,Standard Class,CG-10056,TEC-AC-10003027,3,297.09,0.2,51.01
CA-2024-100178,2024-02-29,2024-03-03,Second Class,CG-10070,OFF-AP-10002311,1,117.98,0.0,51.88
CA-2024-100179,2024-08-24,2024-08-25,Second Class,CG-10358,TEC-CO-10001798,3,863.45,0.0,342.79
CA-2022-100180,2022-10-16,2022-10-19,First Class,CG-10092,OFF-PA-10002365,6,2370.9,0.1,473.63
CA-2021-100181,2021-10-29,2021-11-05,Standard Class,CG-10394,OFF-LA-10000240,4,998.1,0.15,179.88
CA-2023-100182,2023-06-21,2023-06-23,Standard Class,CG-10048,OFF-AP-10002311,2,201.86,0.0,34.0
CA-2021-100183,2021-08-29,2021-09-05,Second Class,CG-10069,OFF-LA-10000240,3,610.45,0.0,-74.87
CA-2022-100184,2022-10-18,2022-10-21,First Class,CG-10186,FUR-CH-10000454,1,368.89,0.15,94.62
CA-2023-100185,2023-08-20,2023-08-23,Standard Class,CG-10005,FUR-TA-10004575,1,275.92,0.0,-26.11
CA-2023-100186,2023-08-22,2023-08-25,Standard Class,CG-10305,OFF-LA-10000240,6,2061.74,0.0,-219.2
CA-2024-100187,2024-03-14,2024-03-21,Standard Class,CG-10372,TEC-PH-10002075,3,990.35,0.2,421.1
CA-2021-100188,2021-03-11,2021-03-13,Same Day,CG-10437,FUR-TA-10004575,1,178.67,0.0,-23.41
CA-2021-100189,2021-03-21,2021-03-28,Second Class,CG-10110,FUR-FU-10001487,5,1305.99,0.1,-23.47
CA-2021-100190,2021-09-30,2021-10-01,Second Class,CG-10380,OFF-PA-10002365,7,975.09,0.0,241.64
CA-2022-100191,2022-11-26,2022-12-01,Standard Class,CG-10002,OFF-AP-10002311,2,609.26,0.0,-35.96
CA-2022-100192,2022-05-01,2022-05-07,Standard Class,CG-10079,FUR-TA-10004575,3,621.33,0.0,-71.39
CA-2023-100193,2023-07-02,2023-07-07,Standard Class,CG-10126,FUR-TA-10000577,6,935.64,0.2,-169.52
CA-2023-100194,2023-11-20,2023-11-24,Standard Class,CG-10471,OFF-ST-10000760,6,2280.97,0.0,670.23
CA-2023-100195,2023-05-20,2023-05-22,Second Class,CG-10008,OFF-AR-10002867,4,113.32,0.15,22.4
CA-2023-100196,2023-11-06,2023-11-08,Standard Class,CG-10498,FUR-CH-10000454,7,607.51,0.0,102.65
CA-2022-100197,2022-08-02,2022-08-04,Standard Class,CG-10403,FUR-TA-10000577,4,145.02,0.0,56.73
CA-2024-100198,2024-12-06,2024-12-07,Second Class,CG-10165,OFF-EN-10001990,7,407.24,0.15,69.46
CA-2021-100199,2021-04-08,2021-04-10,Second Class,CG-10115,FUR-CH-10000454,4,766.75,0.3,168.98
CA-2024-100200,2024-12-09,2024-12-13,Standard Class,CG-10038,TEC-AC-10003027,5,91.52,0.2,0.48
CA-2023-100201,2023-07-03,2023-07-10,Standard Class,CG-10018,TEC-PH-10002075,6,1342.34,0.0,-281.37
CA-2023-100202,2023-11-29,2023-12-01,Standard Class,CG-10128,FUR-TA-10004575,7,481.38,0.0,-54.63
CA-2022-100203,2022-12-12,2022-12-17,Standard Class,CG-10122,TEC-AC-10003027,2,319.83,0.1,-58.89
CA-2024-100204,2024-09-23,2024-09-27,First Class,CG-10323,TEC-AC-10003027,6,1994.97,0.2,408.12
CA-2021-100205,2021-05-06,2021-05-07,Second Class,CG-10424,OFF-PA-10002365,2,107.44,0.0,-0.41
CA-2024-100206,2024-03-01,2024-03-08,Standard Class,CG-10031,TEC-AC-10003832,5,298.2,0.15,-0.49
CA-2021-100207,2021-04-20,2021-04-23,Standard Class,CG-10408,OFF-ST-10000760,6,1868.04,0.15,442.51
CA-2024-100208,2024-03-26,2024-04-02,Standard Class,CG-10137,OFF-EN-10001990,5,412.66,0.1,36.5
CA-2021-100209,2021-07-12,2021-07-16,Standard Class,CG-10118,FUR-TA-10000577,3,234.28,0.0,97.9
CA-2022-100210,2022-06-03,2022-06-09,Standard Class,CG-10049,OFF-LA-10000240,3,1092.75,0.1,429.9
CA-2024-100211,2024-07-12,2024-07-16,Same Day,CG-10066,FUR-TA-10000577,3,868.44,0.2,70.17
CA-2023-100212,2023-03-19,2023-03-22,Standard Class,CG-10172,TEC-PH-10002075,2,445.19,0.0,139.26
CA-2022-100213,2022-02-05,2022-02-09,Standard Class,CG-10404,OFF-AR-10002867,2,72.53,0.1,-14.49
CA-2022-100214,2022-05-10,2022-05-11,Standard Class,CG-10021,TEC-PH-10004977,2,151.31,0.15,62.96
CA-2022-100215,2022-04-02,2022-04-07,Standard Class,CG-10469,TEC-AC-10003832,2,545.56,0.15,176.69
CA-2023-100216,2023-02-19,2023-02-20,Standard Class,CG-10320,OFF-PA-10002365,3,139.97,0.1,-31.7
CA-2021-100217,2021-08-22,2021-08-24,Standard Class,CG-10051,FUR-CH-10000454,6,1708.03,0.0,-319.2
CA-2022-100218,2022-05-31,2022-06-05,Same Day,CG-10319,OFF-AP-10002311,6,1418.4,0.1,128.91
CA-2024-100219,2024-10-29,2024-11-02,Standard Class,CG-10185,OFF-EN-10001990,7,93.99,0.2,-2.5
CA-2024-100220,2024-12-31,2025-01-01,Second Class,CG-10239,OFF-BI-10004632,6,156.46,0.0,-36.32
CA-2021-100221,2021-06-19,2021-06-26,Standard Class,CG-10160,FUR-CH-10000454,6,1339.17,0.1,-61.17
CA-2023-100222,2023-12-14,2023-12-21,Standard Class,CG-10468,FUR-FU-10001487,1,43.07,0.0,-10.39
CA-2021-100223,2021-07-27,2021-08-02,Standard Class,CG-10398,FUR-CH-10004218,4,1527.44,0.0,525.65
CA-2021-100224,2021-11-22,2021-11-23,Standard Class,CG-10302,TEC-AC-10003027,7,891.53,0.0,-71.44
CA-2022-100225,2022-05-03,2022-05-07,First Class,CG-10093,OFF-BI-10003910,4,486.33,0.1,-5.79
CA-2021-100226,2021-08-19,2021-08-21,Second Class,CG-10441,OFF-BI-10003910,1,205.95,0.1,63.2
CA-2022-100227,2022-04-27,2022-04-30,Standard Class,CG-10441,OFF-EN-10001990,7,396.65,0.0,-7.83
CA-2022-100228,2022-06-05,2022-06-09,Standard Class,CG-10016,OFF-ST-10000760,4,787.94,0.1,170.88
CA-2022-100229,2022-02-06,2022-02-11,Second Class,CG-10089,OFF-AR-10002867,7,1015.29,0.0,239.44
CA-2021-100230,2021-07-17,2021-07-20,Standard Class,CG-10298,OFF-BI-10003910,4,1609.02,0.0,560.93
